#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	1	390264	390951	mtrA	1-688/688	===============	0/0	100.00	85.61	card	AL123456:3626663-3627350
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	1	573845	574264	Erm(38)	742-1162/1163	......../======	2/3	36.03	85.31	card	AY154657:1-1162
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	1	844201	845390	Streptomyces_cinnamoneus_EF-Tu_mutants_conferring_resistance_to_elfamycin	1-1193/1194	========/======	5/7	99.50	83.01	card	X98831.1:362-1556
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	1	965361	965790	arr-1	1-430/432	===============	0/0	99.54	80.23	card	AF001493:1-433
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	13	148836	149599	APH(3'')-Ic	2-765/766	========/======	2/2	99.61	76.86	card	DQ336355:603-1368
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	18	102416	103009	AAC(2')-Ib	1-588/589	========/======	2/6	99.83	84.17	card	U41471:265-853
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	18	102416	102961	AAC(2')-Ic	1-531/547	========/======	7/19	96.71	75.91	card	AL123456:314309-314855
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	25	77773	78438	vanRO	36-701/703	===============	0/0	94.74	80.48	card	KF478993:6003-6705
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	4	82656	82987	RbpA	1-332/345	===============	0/0	96.23	90.96	card	HQ203032:1-346
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	7	27128	28359	tet(V)	25-1250/1260	========/======	4/8	97.22	82.72	card	AF030344:1-1261
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	7	178002	179214	tap	1-1213/1231	===============	0/0	98.54	87.39	card	AJ000283:620-1850
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	7	283605	284851	Mycobacterium_tuberculosis_intrinsic_murA_conferring_resistance_to_fosfomycin	6-1252/1257	===============	0/0	99.20	80.83	card	HE608151:1472986-1474243
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	8	40369	41874	lrfA	1-1506/1515	===============	0/0	99.41	81.41	card	U40487.1:171-1686
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	9	1504	2388	TLE_beta-lactamase	1-885/885	===============	0/0	100.00	93.90	card	L25634:1274-2159
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	9	1814	2025	LRA-1	314-525/889	.....====......	0/0	23.85	75.00	card	EU408346:4826-5714
/storage/work/mnk5428/Dr.Zack/Assemblies/V350197172_L01_63_assembly.fasta	9	33012	34470	efpA	126-1587/1593	.=======/======	6/11	91.34	77.56	card	NC_000962.3:3153039-3154632
