Assembly	V350197172_L01_61_assembly
# contigs (>= 0 bp)	124
# contigs (>= 1000 bp)	104
# contigs (>= 5000 bp)	84
# contigs (>= 10000 bp)	75
# contigs (>= 25000 bp)	62
# contigs (>= 50000 bp)	48
Total length (>= 0 bp)	9937522
Total length (>= 1000 bp)	9928557
Total length (>= 5000 bp)	9890291
Total length (>= 10000 bp)	9819167
Total length (>= 25000 bp)	9584977
Total length (>= 50000 bp)	9091556
# contigs	113
Largest contig	716054
Total length	9934981
GC (%)	58.59
N50	250565
N90	54924
auN	275079.1
L50	13
L90	46
# N's per 100 kbp	0.00
